"sex";"age";"nationality";"politics";"WasonOrder";"Harm";"Fairness";"Loyalty";"Authority";"Purity";"Tasktype";"GotRight"
"Female";29;"USA";2;"After";4.25;4.25;3;4.25;3.75;"Control_descriptive";"Wrong"
"Male";34;"USA";1;"Before";5.5;5.5;2.5;2;1;"Control_deontic";"Right"
"Male";61;"USA";2;"After";5.5;6;1.25;2.25;2.5;"Harm";"Wrong"
"Female";36;"USA";4;"After";5.5;5.5;4.25;5;4.5;"Purity";"Wrong"
"Female";23;"USA";3;"Before";4.25;3.5;3;3.25;2.75;"Loyalty";"Wrong"
"Male";31;"USA";5;"After";4.75;4.5;3;3.75;3.75;"Control_descriptive";"Wrong"
"Male";23;"USA";3;"After";4.5;4.75;5;5;4.75;"Control_descriptive";"Wrong"
"Male";22;"USA";4;"Before";6;5.25;1.75;2.75;3.25;"Purity";"Right"
"Male";45;"USA";5;"Before";4.75;4.25;4;3.75;4.25;"Control_descriptive";"Wrong"
"Male";55;"USA";5;"Before";6;6;5;3.75;4;"Harm";"Wrong"
"Male";37;"USA";3;"Before";4.25;4.75;2.25;2.75;2.5;"Authority";"Right"
"Male";21;"USA";2;"After";3.25;4.25;4.5;4.25;2.5;"Authority";"Wrong"
"Male";31;"USA";3;"Before";3.25;4;4.25;3;3.5;"Control_descriptive";"Wrong"
"Female";66;"USA";3;"After";5;5.5;2.75;2.75;2.5;"Harm";"Right"
"Female";23;"USA";1;"After";4.75;5.25;1.25;1.5;1.5;"Control_deontic";"Wrong"
"Female";66;"USA";5;"After";2.75;4.5;3;5;5.25;"Purity";"Right"
"Male";21;"USA";4;"After";3.75;5;4.25;4.25;3.25;"Control_deontic";"Wrong"
"Male";57;"USA";3;"Before";5;3.5;4;3.25;5;"Authority";"Wrong"
"Female";26;"USA";1;"Before";2.75;3.5;1.25;1.5;4;"Control_deontic";"Wrong"
"Male";28;"India";6;"After";4.75;5.25;5.75;4.75;5.25;"Loyalty";"Right"
"Male";25;"USA";3;"After";5.25;4.5;3.5;3.75;5.25;"Control_deontic";"Wrong"
"Male";22;"USA";2;"Before";5.25;5;1.75;2.75;3.75;"Purity";"Right"
"Female";40;"India";3;"After";5.5;5.5;4.5;3.75;3.25;"Control_descriptive";"Wrong"
"Male";24;"USA";4;"Before";3.75;4.25;3.5;4.75;3.25;"Purity";"Wrong"
"Male";25;"USA";3;"Before";3.5;4.75;3.5;3.5;4;"Purity";"Right"
"Male";23;"India";3;"After";4.25;4.25;4.75;4.25;3.25;"Control_descriptive";"Wrong"
"Female";48;"USA";1;"Before";4.75;4.75;3.75;3.75;1.25;"Authority";"Wrong"
"Male";24;"USA";3;"Before";5.75;4.75;3.25;3.25;2.5;"Loyalty";"Right"
"Male";18;"USA";1;"After";4.5;4;3;3.25;3.5;"Loyalty";"Wrong"
"Male";23;"USA";3;"After";4.25;4.75;3.75;4;2.25;"Authority";"Wrong"
"Male";30;"USA";3;"Before";5;4;3.25;3.5;4;"Authority";"Wrong"
"Female";66;"USA";5;"Before";3.5;3.5;4.5;3.75;3.75;"Authority";"Wrong"
"Male";19;"India";5;"After";4.5;4.5;4.25;4.5;4.75;"Loyalty";"Wrong"
"Male";35;"USA";1;"After";6;6;4.25;3;2.5;"Purity";"Right"
"Female";28;"USA";2;"Before";4.75;4.5;3.75;3;2.25;"Control_descriptive";"Wrong"
"Male";24;"USA";3;"After";5.75;4.75;5;4.75;6;"Control_deontic";"Wrong"
"Female";49;"USA";3;"After";6;5.25;4.75;5;5.5;"Control_descriptive";"Wrong"
"Male";26;"USA";3;"After";6;6;3.5;3.25;2.5;"Authority";"Wrong"
"Male";33;"USA";3;"Before";5;3.75;2.25;4.5;5.5;"Fairness";"Right"
"Male";23;"USA";3;"After";4.25;5;4.75;5;2;"Harm";"Wrong"
"Male";25;"Other";3;"After";5.75;5.25;1;2.75;2.5;"Harm";"Right"
"Male";18;"USA";2;"After";4.25;3.75;2.75;3.5;3.5;"Authority";"Wrong"
"Female";34;"USA";1;"After";4.25;4.75;2.75;2;1.5;"Purity";"Right"
"Male";41;"USA";1;"Before";5.5;5.5;2.5;3.25;1.75;"Harm";"Wrong"
"Female";31;"USA";4;"After";5.75;5.25;3.5;4.25;4.25;"Harm";"Right"
"Male";36;"USA";1;"Before";5;4.75;2.5;2;2;"Purity";"Wrong"
"Male";26;"Other";5;"Before";4.5;4.25;4.25;5;3.75;"Fairness";"Wrong"
"Female";55;"USA";4;"Before";4.75;5.75;5.25;4.75;4;"Purity";"Right"
"Female";60;"USA";1;"Before";6;5.25;3.75;2;2.25;"Control_deontic";"Wrong"
"Female";27;"USA";1;"Before";6;5.75;2.75;2.5;3.25;"Harm";"Right"
"Male";55;"USA";5;"Before";5.5;5.5;6;6;5.25;"Harm";"Wrong"
"Female";38;"USA";6;"After";5.5;6;6;6;6;"Control_deontic";"Wrong"
"Male";23;"USA";3;"After";3.75;4.75;5.25;5.5;4.5;"Authority";"Wrong"
"Female";53;"USA";3;"Before";5;5.25;4.5;4.5;5.5;"Fairness";"Right"
"Male";23;"USA";3;"After";3.75;3.5;3.75;4.5;4.5;"Purity";"Right"
"Male";36;"USA";2;"Before";4.75;5;4.25;3.75;3;"Control_descriptive";"Wrong"
"Female";32;"USA";1;"After";6;5.75;2.5;3.25;1.75;"Harm";"Right"
"Female";28;"USA";2;"After";4.5;4.25;4.5;3.5;5;"Harm";"Right"
"Female";40;"India";5;"After";4.25;4;5;5.5;4.25;"Purity";"Wrong"
"Female";32;"USA";4;"After";4;4.25;5;5;4.25;"Loyalty";"Wrong"
"Male";33;"USA";3;"Before";5;5;3.25;2.25;1;"Harm";"Right"
"Male";23;"USA";3;"After";4.25;4.75;5;4.75;4;"Control_deontic";"Wrong"
"Male";36;"India";5;"After";5.5;5.5;4.25;5;5.25;"Purity";"Wrong"
"Male";26;"USA";4;"After";5.25;5.75;4.5;3.25;2;"Control_deontic";"Wrong"
"Male";24;"Other";6;"After";5.75;4.75;6;6;5.25;"Harm";"Right"
"Male";26;"USA";2;"Before";5;5;4.5;4.75;3.75;"Loyalty";"Wrong"
NA;53;"USA";3;"After";4.5;5;4.5;4.5;4.75;"Authority";"Right"
"Female";32;"USA";1;"After";5.75;4.25;2.5;3.25;3.25;"Authority";"Right"
"Male";40;"USA";1;"Before";3.5;5.25;3.5;4;2.25;"Loyalty";"Right"
"Female";27;"USA";1;"Before";4.5;5;2.25;3.25;3;"Harm";"Wrong"
"Male";25;"India";3;"After";3.5;3.75;4.25;3.5;3;"Fairness";"Wrong"
"Male";25;"USA";4;"After";4.25;4.25;4;4;3.75;"Purity";"Wrong"
"Male";32;"India";4;"After";5.75;5.5;4.75;4.25;6;"Purity";"Wrong"
"Male";24;"USA";4;"Before";4.5;4.25;3.5;4.75;4;"Purity";"Right"
"Male";23;"USA";1;"Before";4.75;6;2.75;2.5;1.75;"Fairness";"Right"
"Female";20;"USA";3;"After";3.25;4;3.75;4;4;"Loyalty";"Wrong"
"Female";31;"USA";4;"Before";4;4.5;3.5;4.75;3.75;"Control_deontic";"Right"
"Female";45;"USA";4;"Before";3.75;4;3.75;3.5;4;"Loyalty";"Wrong"
"Female";66;"USA";5;"Before";5.25;5;6;6;5.75;"Control_descriptive";"Wrong"
"Female";39;"USA";6;"After";4;4;3.75;3.75;4;"Control_descriptive";"Wrong"
"Male";20;"USA";2;"Before";3;4.25;3.5;3.5;1.25;"Harm";"Right"
"Female";36;"USA";NA;"Before";5;3.75;1.5;2.25;1;"Fairness";"Right"
"Male";28;"USA";6;"Before";3.75;3.5;3.5;3.75;4;"Fairness";"Right"
"Female";25;"Other";4;"After";5.25;4.75;3.5;4;4;"Loyalty";"Right"
"Female";25;"USA";3;"Before";5.25;4.5;3.25;3;1.5;"Harm";"Wrong"
"Female";32;"USA";4;"Before";5.75;5.5;4.5;5.5;4.5;"Harm";"Wrong"
"Female";52;"USA";3;"After";5;4.75;4.25;3.25;1.5;"Harm";"Wrong"
"Female";37;"USA";2;"After";5.25;5.5;3.5;3.75;3.25;"Harm";"Wrong"
"Female";20;"USA";3;"After";6;6;2.25;3.5;6;"Purity";"Wrong"
"Male";29;"USA";1;"After";4.75;5.25;2;1.25;1.5;"Fairness";"Wrong"
"Male";24;"USA";2;"After";4.75;6;4.25;3;2.5;"Control_deontic";"Right"
"Male";27;"USA";3;"Before";5;4.5;4;3;3.25;"Loyalty";"Right"
"Male";47;"USA";4;"Before";3.75;5.75;4.5;4.5;4;"Control_deontic";"Wrong"
"Female";32;"USA";5;"Before";3.5;4.5;3;4.75;4.5;"Control_descriptive";"Wrong"
"Female";32;"USA";2;"After";4.5;4.75;3.5;4.5;1.75;"Fairness";"Wrong"
"Male";46;"India";4;"After";3.75;5;3.75;4.25;4.5;"Fairness";"Wrong"
"Male";38;"USA";3;"Before";4.25;4.25;3.75;3.75;3;"Loyalty";"Wrong"
"Female";38;"USA";6;"After";6;5.75;3.75;4.75;4.5;"Harm";"Wrong"
"Male";55;"USA";5;"Before";5.25;5.75;3.5;3;2.5;"Fairness";"Right"
"Male";30;"USA";3;"Before";5;4.5;2.25;2.25;1.5;"Control_deontic";"Wrong"
"Female";20;"USA";1;"Before";4.75;5;3.75;3.25;4.75;"Control_deontic";"Wrong"
"Female";56;"India";3;"After";5.75;4.5;4.5;4.75;5.75;"Control_descriptive";"Wrong"
"Male";27;"USA";2;"Before";5.25;5;2.75;3;2;"Authority";"Wrong"
"Male";22;"USA";1;"After";3.75;4.75;3;1.25;1.5;"Authority";"Wrong"
"Female";26;"India";2;"After";4.5;4.75;3.25;3.75;3;"Fairness";"Wrong"
"Female";22;"USA";3;"After";3.5;4;3;3;3.25;"Purity";"Right"
"Male";37;"USA";4;"Before";5.75;6;5.75;4.75;5.5;"Control_descriptive";"Wrong"
"Male";70;"USA";5;"Before";6;5;5;4.75;5;"Harm";"Wrong"
"Female";56;"USA";4;"After";4;4.25;4.75;3.75;3;"Fairness";"Wrong"
"Female";34;"USA";2;"After";5.5;5.5;2.75;2;1;"Authority";"Right"
"Male";49;"USA";1;"After";5;5;2.75;2.75;2.5;"Harm";"Right"
"Male";29;"USA";3;"Before";5.75;5.75;3.25;3;3.25;"Purity";"Right"
"Female";32;"USA";2;"After";4.25;3.75;3.25;3.25;4;"Fairness";"Wrong"
"Male";43;"USA";2;"After";5.25;5.5;2.75;3;1;"Harm";"Wrong"
"Male";55;"USA";5;"Before";4.75;5;4.75;4.5;5.25;"Authority";"Right"
"Female";33;"USA";3;"Before";4.75;4.5;3.75;4.75;5.5;"Control_deontic";"Right"
"Female";27;"USA";1;"Before";6;5.25;2.25;3.5;4;"Harm";"Right"
"Male";35;"USA";3;"Before";4.25;4;3.5;3.25;3.5;"Harm";"Wrong"
"Female";43;"USA";5;"After";5.25;5.5;4.75;4.75;4.75;"Purity";"Wrong"
"Male";31;"USA";4;"Before";5.25;5;4.25;4.25;4.5;"Fairness";"Wrong"
"Female";26;"USA";2;"After";5;5;2.5;4;3;"Authority";"Right"
"Female";28;"USA";2;"Before";5.25;5;5;3.75;4;"Fairness";"Wrong"
"Female";60;"India";3;"After";5.75;5.75;4.5;4.75;5;"Authority";"Wrong"
"Male";20;"USA";2;"After";3.25;3.25;3.5;3.5;4;"Authority";"Wrong"
"Female";36;"USA";1;"Before";5;4;2.5;1.75;1.5;"Loyalty";"Right"
"Male";33;"India";2;"After";4.25;4.75;4.5;4.75;4.75;"Fairness";"Wrong"
"Female";30;"USA";5;"After";5.75;5.25;2.75;5;4.5;"Fairness";"Right"
"Female";28;"USA";3;"Before";4.5;5;3.75;2.25;1.75;"Control_descriptive";"Wrong"
"Male";33;"USA";3;"After";4.25;5.25;3.5;4.5;4.5;"Harm";"Wrong"
"Male";37;"USA";5;"Before";5.75;5.75;4.75;4;4.5;"Loyalty";"Wrong"
"Male";42;"USA";2;"Before";6;6;2.75;3;2;"Authority";"Wrong"
"Male";53;"USA";4;"Before";4;5;3.25;3.5;3.75;"Purity";"Right"
"Female";24;"USA";5;"After";4.25;4.5;5.25;4.75;5;"Loyalty";"Wrong"
"Female";43;"USA";5;"Before";4;4;3.75;3.25;3.75;"Purity";"Right"
"Male";39;"USA";4;"After";3.5;3.75;3.75;3.75;4.75;"Loyalty";"Wrong"
"Female";27;"USA";2;"After";4.5;4.75;3.75;3;4.5;"Authority";"Wrong"
"Female";57;"USA";1;"Before";5;5;4.25;3.5;1.25;"Authority";"Wrong"
"Female";53;"USA";3;"Before";4.75;5.75;2.75;2.5;2.5;"Purity";"Right"
"Male";32;"India";5;"After";5;2.75;4.25;4.75;5.5;"Fairness";"Wrong"
"Male";53;"USA";3;"After";5.5;5.75;4.25;3.25;1.75;"Authority";"Right"
"Male";35;"USA";4;"Before";3.5;4.75;3.5;4.5;5.5;"Loyalty";"Wrong"
"Male";23;"India";3;"After";3;4;4.25;4;2.25;"Purity";"Wrong"
"Male";32;"USA";2;"Before";3.5;3.5;2;3.25;2.25;"Control_descriptive";"Wrong"
"Male";35;"USA";2;"After";4.75;5.5;5.5;5;2.75;"Fairness";"Right"
"Male";33;"USA";3;"Before";2.5;2.75;2.25;2.5;3.5;"Purity";"Wrong"
"Male";19;"USA";3;"After";5;5.75;3.75;4;2;"Loyalty";"Right"
"Female";49;"USA";2;"After";5.5;6;3.75;5;3;"Authority";"Right"
"Female";22;"USA";3;"After";4.25;5.25;2.75;3.25;2.5;"Authority";"Right"
"Male";24;"USA";1;"After";4.25;5.25;2.25;1.5;1.75;"Authority";"Wrong"
"Female";49;"USA";2;"Before";5.75;6;4.5;5.5;5.25;"Loyalty";"Wrong"
"Female";30;"USA";3;"Before";3.75;3.75;2.25;2.5;1.75;"Loyalty";"Right"
"Female";27;"USA";3;"After";4.5;5.25;4.25;3;2.25;"Authority";"Wrong"
"Male";36;"USA";2;"Before";3.5;4.5;2.5;2.25;2;"Control_descriptive";"Wrong"
"Female";45;"USA";2;"Before";2.25;4.75;2.25;3.25;3;"Loyalty";"Right"
"Male";26;"USA";3;"Before";4.75;4.25;3.5;4.5;4.75;"Control_descriptive";"Wrong"
"Male";53;"USA";3;"After";5.25;5;4.5;4.5;4.75;"Authority";"Right"
"Female";60;"India";5;"After";4.75;4.75;5;4.5;3.75;"Fairness";"Wrong"
"Male";30;"USA";3;"Before";4;4.5;5.5;5.75;5.25;"Harm";"Wrong"
"Male";26;"USA";3;"After";5;5.5;3.5;4.25;4.25;"Fairness";"Wrong"
"Male";25;"USA";1;"After";3;5.75;1.25;1.5;2.75;"Control_deontic";"Right"
"Male";34;"USA";4;"After";4.75;5.5;3;2.75;2.5;"Loyalty";"Wrong"
"Female";57;"Other";1;"After";5;5.25;4.25;4.75;4.75;"Authority";"Wrong"
"Male";32;"USA";2;"Before";3.5;4.25;3;2.5;3.5;"Control_descriptive";"Wrong"
"Female";30;"USA";1;"Before";5;4.25;3.75;4.75;4.25;"Control_descriptive";"Right"
"Male";24;"USA";4;"After";5.5;5.5;5.25;4.75;5;"Purity";"Right"
"Female";28;"USA";4;"After";5.75;5.75;4.5;5.5;6;"Loyalty";"Wrong"
"Male";32;"USA";2;"After";4.25;4.5;3.75;3;4;"Purity";"Wrong"
"Female";24;"USA";2;"Before";5.25;5.25;2.5;2.25;2.25;"Purity";"Right"
"Male";31;"USA";5;"Before";4.5;3;5.25;4.5;4.5;"Harm";"Right"
"Male";29;"USA";3;"Before";4.25;4.25;5.5;4.5;4;"Control_descriptive";"Wrong"
"Male";32;"USA";2;"After";6;6;3.25;4;3.25;"Purity";"Right"
"Female";64;"USA";5;"Before";5;5.5;4.25;4.5;4.75;"Control_deontic";"Wrong"
"Female";35;"USA";4;"Before";4.75;5;3;4;3.25;"Fairness";"Right"
"Female";56;"USA";3;"After";5.25;5;2.75;2.25;2.25;"Authority";"Wrong"
"Female";45;"USA";3;"After";5.75;5.75;4.5;4.75;4.5;"Control_descriptive";"Wrong"
"Male";26;"USA";3;"After";4.5;4.75;3.25;3.25;2.5;"Authority";"Wrong"
"Female";26;"USA";2;"After";4.5;4.25;3.25;3.5;4.25;"Harm";"Wrong"
"Female";45;"USA";4;"Before";3.75;5.75;3.5;3.5;5.25;"Control_deontic";"Wrong"
"Male";21;"India";4;"After";3.75;4;4;3.75;4;"Purity";"Wrong"
"Male";39;"USA";3;"Before";4;4;3.5;3.25;3.5;"Purity";"Right"
"Male";32;"USA";3;"Before";4.5;5.5;5.25;4.75;4;"Control_deontic";"Wrong"
"Male";25;"USA";4;"Before";3.75;2.75;3.25;2.5;1.75;"Control_descriptive";"Wrong"
"Female";23;"USA";3;"After";3.75;4.75;3.25;3.25;3.25;"Control_deontic";"Wrong"
"Female";24;"USA";3;"Before";4.25;4.25;3.5;3.25;3.25;"Loyalty";"Wrong"
"Male";33;"USA";3;"After";4.75;4.5;4.5;5;2.75;"Control_deontic";"Right"
"Female";28;"USA";3;"After";5;4.25;3.25;3;3.25;"Harm";"Wrong"
"Female";66;"USA";5;"Before";3;3.75;4;4.75;4.5;"Harm";"Wrong"
"Female";28;"USA";2;"After";4.75;5;3.5;4.25;2;"Harm";"Right"
"Male";55;"USA";4;"Before";5;5.75;5.75;4.75;4.75;"Purity";"Right"
"Male";23;"USA";3;"Before";4.25;4;3.5;3.25;3.5;"Harm";"Wrong"
"Female";25;"USA";1;"Before";5.5;5;1.75;1.25;1.25;"Fairness";"Wrong"
"Male";39;"USA";3;"Before";5;5.5;3.25;3.75;2;"Harm";"Right"
"Male";30;"Other";3;"After";3.75;4.5;4.5;4.75;4.5;"Loyalty";"Wrong"
"Female";28;"USA";3;"After";5;4.25;3.25;3.25;1.75;"Harm";"Right"
"Male";34;"India";4;"After";4;4.5;4.5;4.5;5.5;"Fairness";"Wrong"
"Male";23;"USA";2;"Before";4.75;5;2.75;3.75;5.25;"Fairness";"Right"
"Male";25;"USA";1;"After";3.5;3.5;2.25;2.75;3.5;"Purity";"Right"
"Male";31;"USA";2;"Before";5;4.5;3.75;3.5;3.5;"Fairness";"Wrong"
"Male";33;"USA";3;"After";4.25;4.5;3.25;3;2.5;"Harm";"Wrong"
"Male";24;"USA";6;"After";3.75;2.75;5.5;5;5.5;"Control_deontic";"Wrong"
"Male";32;"USA";2;"After";4.25;5.25;3;2.75;2.5;"Purity";"Right"
"Male";26;"USA";1;"Before";4.75;4;2;1.75;1.75;"Harm";"Right"
"Female";28;"Other";2;"After";4.75;5;2.75;2.25;3.75;"Authority";"Right"
"Male";25;"USA";3;"After";5.5;5;3.5;4.25;5;"Control_deontic";"Wrong"
"Male";35;"USA";4;"Before";4.5;5.25;3.5;3.25;1;"Loyalty";"Wrong"
"Male";39;"USA";3;"Before";4.25;4;4.5;4.25;3.5;"Harm";"Right"
"Female";67;"USA";5;"Before";4.5;4.5;3;3.75;3.75;"Fairness";"Right"
"Female";38;"USA";2;"After";5;4.75;2.75;2.5;1.75;"Harm";"Right"
"Male";25;"USA";2;"Before";3;4;2.75;3.25;2.75;"Authority";"Right"
"Female";53;"India";1;"After";4.5;5;4.75;3.5;4;"Authority";"Wrong"
"Male";26;"India";4;"After";5.25;5.25;4.25;3.5;4.5;"Fairness";"Wrong"
"Female";68;"USA";5;"Before";4.5;5;4.25;4.75;3.75;"Control_descriptive";"Right"
"Female";51;"USA";3;"After";5;5;4.5;4.5;4.75;"Purity";"Right"
"Male";23;"India";3;"After";4;4;4;4;3.75;"Authority";"Wrong"
"Male";37;"USA";1;"Before";5;5.25;2;1.25;1;"Purity";"Wrong"
"Male";37;"USA";3;"Before";4;4;4;4.25;3.5;"Loyalty";"Right"
"Male";21;"USA";5;"Before";3.75;4;4.5;4.5;4.25;"Control_descriptive";"Wrong"
"Female";41;"USA";3;"Before";4.5;4;2.25;3.75;5.5;"Fairness";"Wrong"
"Male";43;"USA";2;"Before";6;5.5;1.75;1.75;2;"Control_deontic";"Wrong"
"Male";34;"USA";2;"After";6;5.75;3;2;4.25;"Control_deontic";"Wrong"
"Female";27;"USA";1;"Before";4.5;4.5;2.5;2.25;2.5;"Control_deontic";"Wrong"
"Female";44;"USA";3;"Before";3.75;4.25;3.25;3.25;3.25;"Loyalty";"Right"
"Male";40;"USA";2;"Before";4.5;4.5;3;2.5;2.75;"Loyalty";"Wrong"
"Male";34;"USA";1;"Before";5.5;4.5;2.25;1.25;1;"Authority";"Wrong"
"Female";23;"USA";3;"After";4.75;4.75;4;4;3.75;"Loyalty";"Right"
"Female";22;"USA";1;"Before";4.75;5.25;3.5;4;5;"Control_deontic";"Right"
"Male";18;"USA";2;"Before";4.75;5;2.75;2.75;2.5;"Purity";"Right"
"Male";27;"India";4;"After";3.5;3.75;3.75;4.75;4.25;"Purity";"Wrong"
"Female";37;"USA";2;"After";4.5;4;2;2.75;1;"Purity";"Right"
"Female";22;"USA";4;"After";4.5;4.5;3.75;4.25;3.75;"Control_deontic";"Wrong"
