"stim";"sent";"race";"glasses";"tattoos";"ztrust";"trust_2nd";"afro";"zAfro";"attract";"fWHR";"zfWHR";"maturity"
503;1;1;0;0;0.241698658401943;2.357143;2.368421;0.544132;2.083333;1.823219;-0.687199;5.714286
91;0;1;0;0;-0.459860673017174;3.461538;1.761905;-0.328625;1.777778;1.743379;-1.086777;5.631579
683;0;-1;0;0;1.93421293952417;3.2;4.52381;-2.556153;1.45;2.00303;-0.207902;4.75
370;1;1;0;0;1.04970260676084;2.172414;1.285714;-0.999977;2.210526;2.323917;1.762488;5.095238
76;0;1;0;0;0.573771716924134;2.423077;1.666667;-0.462896;2;1.596591;-1.93599;7.526316
654;1;-1;0;0;0.395165617176164;2.733333;6.35;0.551349;2.722222;2.048301;-0.027026;4.45
673;0;-1;0;0;-0.687867683735398;2.2;5.95;-0.08864;2.777778;2.092995;0.208492;4.47619
382;1;1;1;0;-0.83725240498972;2.724138;1.190476;-1.134248;2.578947;1.783596;-0.934018;7.190476
721;0;1;0;0;0.167158606457941;3.1;4.7;3.531647;2.333333;1.996053;0.19952;4.85
588;1;1;1;0;0.512968631361884;2.193548;1.5;-0.697869;1.416667;2.05065;0.51783;6.35
461;0;-1;0;0;-1.23157684960625;2.535714;6.578947;0.835788;1.933333;1.865046;-1.081393;6.55
338;1;-1;1;0;-1.51220058217389;2.862069;5.315789;-1.226398;4;1.86528;-1.081393;4.727273
180;1;1;0;0;0.83462997774664;2.4;2.095238;0.141321;1.736842;1.833451;-0.609378;5.714286
486;1;1;0;0;-1.02110813815247;3.535714;2.090909;0.141321;2.833333;1.987013;0.226313;6.190476
525;0;1;0;0;1.29403856755866;2.645161;2.714286;0.971677;1.708333;2.016955;0.36511;6.764706
445;1;-1;1;0;-1.23157684960625;3.103448;6.571429;0.906898;2.222222;2.047015;-0.011317;4.047619
468;0;-1;0;0;-1.16142000443629;3.392857;6.157895;0.218255;1.6;2.008475;-0.213152;4.190476
125;1;-1;0;0;-0.636381876659137;3.333333;5.47619;-0.696306;1.695652;1.838061;-1.188551;4.647059
659;1;-1;1;0;1.02218489665128;2.870968;6.15;0.186103;2;2.340909;1.700111;3.55
64;1;1;0;0;0.573771716924134;2.2;1.52381;-0.664301;2.5;1.723409;-1.26306;6.705882
446;1;-1;1;0;-1.23157684960625;3.392857;6.333333;0.480239;2;2.15942;0.589952;3.681818
23;0;-1;0;0;-1.43268997739623;3.384615;5.619048;-0.657519;3.043478;1.609456;-2.397404;5.263158
715;0;1;0;0;0.794177885933056;3.533333;1.6;-0.556885;2.1;1.869935;-0.42869;4.9
594;1;1;0;0;-0.095049455868016;1.870968;1.590909;-0.573471;2.125;1.838085;-0.602221;6.85
484;1;1;0;0;0.171543637288074;2.678571;1.894737;-0.158813;2.125;1.86042;-0.485876;6.7
645;0;1;0;0;0.391366108349556;3.333333;4.5;3.813615;1.95;1.598476;-2.033482;4.470588
73;1;1;1;0;1.30339415122245;2.033333;1.571429;-0.597166;3.277778;1.929324;-0.126849;6
570;0;-1;0;0;-1.25028436882165;2.741935;6.090909;0.12469;1.333333;1.929487;-0.66235;4.75
470;0;-1;0;0;-0.810641250754776;2.464286;5.631579;-0.657519;2;2.126609;0.432135;4.47619
232;1;-1;0;0;1.78980789138394;2.275862;4.52381;-2.293046;2.571429;1.788949;-1.425598;5.809524
698;1;1;0;0;1.42119716540817;2.966667;2;0.00705;1.8;2.044838;0.515477;6.9
506;1;1;0;0;-0.179236940449528;3.25;2.090909;0.141321;1.666667;2.173913;1.3597;6
514;0;1;0;0;0.45216736985572;3.285714;1.842105;-0.215556;1.75;2.203093;1.384684;5.666667
89;0;1;0;0;0.816978587004878;3.307692;1.619048;-0.530031;2.142857;1.596545;-1.93599;6.947368
695;1;1;0;0;1.07918664933084;3.033333;2.4;0.583803;2;2.059912;0.566036;5.470588
265;1;1;0;0;-0.33825632594876;3.827586;1.588235;-0.573471;1.952381;2.090802;0.809364;4.666667
118;1;-1;0;0;0.128545163178787;3.384615;5.952381;-0.096125;1.695652;1.691641;-2.054708;4.647059
212;0;1;1;0;-2.28391675876296;2.733333;1.47619;-0.731437;1.952381;1.658022;-1.668267;6.823529
278;1;1;1;1;-0.763870628660168;2.896552;1.411765;-0.798572;2.190476;1.793478;-0.808997;6.380952
677;0;-1;0;0;-0.630865931055842;3.133333;5.8;-0.30197;2.222222;1.994488;-0.32544;3.85
516;0;1;0;0;-0.600172539300997;2.178571;2;0.00705;2;1.974929;0.136714;5.65
167;1;1;0;0;1.30535501151463;2.233333;1.571429;-0.597166;2.142857;2.083333;0.716892;5.705882
549;1;-1;1;0;-1.79750119454539;3.275862;6.136364;0.1958;2.4;2.209596;0.773764;4.571429
738;0;1;0;0;-0.23185366229895;3;1.8;-0.289758;2.9;1.827454;-0.671987;5.15
624;0;1;0;0;0.938582934073292;2.419355;3;1.416889;1.9;1.918614;-0.139094;6.8
675;0;-1;0;0;0.851179638612611;3.566667;5.55;-0.799739;2.333333;2.064322;0.042729;4.65
452;1;-1;0;0;0.391366108349556;2.678571;6;-0.01753;2.266667;2.11613;0.208492;4.6
534;0;1;0;0;0.101386792118118;2.821429;2.315789;0.476997;2.041667;2.176779;1.315802;5.904762
234;1;-1;0;0;1.97221349995851;2.862069;3.761905;-3.288585;1.5;2.225577;1.071969;4.666667
336;1;-1;1;0;-1.90652502679042;3.928571;4.764706;-1.937497;1.73913;1.702247;-1.299247;4.882353
733;0;1;0;0;0.224160359137497;3.733333;1.8;-0.274917;2.7;1.751401;-1.086777;5.95
74;1;1;1;0;1.30339415122245;2.033333;1.52381;-0.656403;2;1.900234;-0.252536;6
733;0;1;0;0;0.338163864496608;3.1;1.4;-0.822266;2.2;1.823205;-0.695248;5.3
145;0;-1;0;0;-0.401020271803185;3.4;6.333333;0.480239;1.521739;1.634872;-1.906465;4.647059
160;1;1;0;0;1.30535501151463;2.033333;1.809524;-0.26149;2.190476;1.974359;0.132309;6.333333
579;0;-1;0;0;-2.77033232298054;2.032258;4.909091;-1.598679;1.75;2.067424;0.118979;3.095238
194;0;1;0;0;-0.0479778645192598;4.233333;1.571429;-0.597166;1.952381;1.928066;-0.1235;4.764706
61;1;1;0;0;0.391366108349556;3.192308;2.047619;0.081252;2.5;2.25942;1.71302;6.105263
329;1;-1;0;0;-0.963048432943179;2.62069;6.190476;0.266909;2.866667;2.039157;-0.075211;5.045455
402;0;1;0;0;-2.28391675876296;2.724138;1.52381;-0.664301;2.105263;1.89749;-0.290958;5.909091
548;1;-1;1;1;-1.55429432446465;2.806452;6.136364;0.186103;3.333333;2.247523;0.966501;3.8
248;0;-1;0;0;2.21542219409534;2.827586;4.470588;-2.406822;2.347826;1.882433;-0.854604;4.55
27;0;-1;0;0;-0.885473151672496;3.115385;6.52381;0.764679;2.521739;1.925926;-0.70243;5.473684
416;0;1;0;0;-1.52913511887396;3.137931;2.47619;0.611267;1.733333;1.928066;-0.126849;6.318182
3;1;-1;0;0;-0.095049455868016;2.846154;5.47619;-0.689518;2.173913;1.854895;-1.027425;5.947368
153;1;1;0;0;-0.33825632594876;2.666667;1.571429;-0.597166;1.857143;1.86042;-0.492325;6.842105
343;1;-1;1;0;-1.51220058217389;2.62069;5.315789;-1.335154;3.666667;1.702247;-1.915752;5.590909
220;1;-1;0;0;0.573771716924134;3.172414;6.333333;0.454041;1.608696;2.195652;0.695528;6.823529
418;0;1;0;0;-1.34044016491572;3.321429;1.380952;-0.909345;2.083333;1.801282;-0.820151;6.823529
413;0;1;0;0;-0.0195718390959409;2.551724;1.941176;-0.067152;1.916667;1.945932;-0.040928;5.857143
730;0;1;0;0;-0.174851909619395;3;2.6;0.993937;2.5;1.980769;0.166099;3.45
379;1;1;0;0;-0.522759599021946;3.172414;1.761905;-0.345409;1.368421;1.578785;-2.046101;6.545455
414;0;1;1;0;0.483615920830064;2.586207;1.666667;-0.462896;1.894737;2.22755;1.45617;5.25
741;0;1;1;0;-0.459860673017174;3.733333;2.3;0.476997;1.8;2.394231;2.550283;5.95
481;1;1;0;0;0.171543637288074;2.821429;2.157895;0.199301;2.583333;2.002703;0.284516;5.666667
490;1;1;0;0;-0.179236940449528;2.75;1.894737;-0.141354;2.166667;1.712888;-1.516177;5.857143
78;0;1;0;0;0.816978587004878;2.076923;1.571429;-0.597166;1.952381;1.93617;-0.100578;6.210526
442;1;-1;0;0;-0.670329384470952;3.142857;6.894737;1.404667;3.066667;2.271852;1.118497;3.75
71;1;1;1;0;1.06018545708562;2.038462;1.571429;-0.597166;3.833333;2.090524;0.779113;5.095238
226;1;-1;0;0;1.78980789138394;2.344828;5.714286;-0.444189;1.73913;1.935641;-0.620694;5.9
311;0;1;0;0;1.36419541272861;3.448276;1.529412;-0.656403;2.421053;1.909639;-0.185949;6.666667
236;1;-1;0;0;1.72900662987777;2.551724;4.470588;-2.389254;2;2.08266;0.167524;4.285714
682;0;-1;0;0;0.395165617176164;3.333333;4.3;-2.293046;2.05;2.170487;0.572007;3.75
408;0;1;1;0;-0.963048432943179;2.689655;1;-1.134248;1.789474;1.779802;-0.881194;6.227273
676;0;-1;0;0;0.566170875214832;3.866667;4.4;-1.862204;2.55;2.387822;1.590868;4
676;0;-1;0;0;0.851179638612611;3.3;5.9;-0.193213;1.666667;1.97619;-0.464009;3.904762
3;1;-1;0;0;-0.095049455868016;2.846154;5.714286;-0.444189;2;2.324011;1.474081;4.235294
299;0;1;0;0;-0.034248194361852;3.034483;1.470588;-0.739335;1.857143;1.706377;-1.360824;7.333333
241;0;-1;0;0;-0.095049455868016;3.827586;6.647059;0.932756;1.652174;1.986629;-0.302352;3.952381
543;1;-1;0;0;0.101386792118118;2.354839;6.190476;0.245995;2.266667;2.191509;0.743084;4.666667
375;1;1;0;0;-0.83725240498972;3;1.894737;-0.141354;1.947368;1.578785;-2.136188;4.52381
58;1;1;1;0;0.0265548912003981;2.846154;1.952381;-0.060085;1.555556;1.955367;0.07994;4.368421
324;0;1;0;0;0.86100765280261;3.448276;1.285714;-0.999977;2.173913;1.651515;-1.560251;7.136364
237;1;-1;0;0;-0.21665380293643;3.034483;6.647059;0.948728;1.826087;2.029135;-0.075211;5.368421
686;0;-1;0;0;-0.402858920337618;3.3;5.8;-0.30197;2.055556;1.686917;-1.985538;4.35
60;1;1;1;0;0.330563022787306;3.038462;1.952381;-0.057033;2.666667;2.25942;1.641508;5.631579
534;0;1;0;0;0.241698658401943;2.516129;1.863636;-0.1852;1.833333;2.222782;1.45617;5.761905
86;0;1;0;0;-0.520661934523338;3.192308;1.947368;-0.067152;2.166667;1.867944;-0.420803;6.318182
247;0;-1;0;0;0.45216736985572;3.103448;5.882353;-0.166861;3.466667;2.327273;1.328317;3.952381
687;1;1;0;1;1.13618840201039;2.4;4.95;3.498079;2.75;2.061538;0.579046;4.85
272;1;1;0;0;0.695374239936464;3.310345;1.588235;-0.573471;1.5;1.829207;-0.695174;7.619048
187;0;1;0;0;-0.165658666947236;3.666667;1.666667;-0.462896;2.095238;1.979822;0.161744;5.25
8;1;-1;1;0;-0.577541475445148;2.846154;3.809524;-2.648596;3.166667;2.324011;1.329076;5.823529
273;1;1;0;0;0.999384195579456;3.37931;1.529412;-0.664301;1.947368;1.948529;-0.028105;7.047619
202;0;1;0;0;0.83462997774664;3.866667;1.571429;-0.597166;1.857143;1.979469;0.160314;6.333333
350;0;-1;0;0;-0.585658525026717;3;5.882353;-0.193213;1.733333;2.076828;0.103104;5.227273
170;1;1;0;0;0.9523126042307;2.5;1.809524;-0.26149;1.809524;2.030057;0.437294;6
78;0;1;1;0;0.330563022787306;2.307692;1.47619;-0.731437;1.809524;1.840196;-0.602604;5.882353
392;1;1;0;0;1.80448424664985;2.310345;1.882353;-0.141354;1.473684;1.829207;-0.693945;5.809524
187;0;1;0;0;0.0108643607508133;2.933333;1.52381;-0.664301;2.619048;1.867944;-0.422528;5.578947
105;0;1;0;0;0.330563022787306;2.6;2.380952;0.526465;1.952381;1.93617;-0.100578;6.352941
64;1;1;0;0;-0.21665380293643;2.807692;1.47619;-0.731437;1.952381;2.031725;0.443824;4.666667
575;0;-1;0;0;-0.277455064442596;3.321429;6.954545;1.387936;2.055556;2.288128;1.211958;4.1
47;1;1;0;0;-0.520661934523338;3.538462;1.333333;-0.932842;2.695652;2.108592;0.877123;6.5
476;1;1;1;0;0.171543637288074;2.357143;1.142857;-1.201383;2.541667;2.023543;0.370496;6.047619
159;1;1;0;0;1.59955701758457;2.033333;1.857143;-0.194355;1.761905;2.164298;1.143091;5.380952
386;1;1;0;0;-0.648555626975405;2.827586;1.857143;-0.194355;1.894737;1.890223;-0.328319;5.181818
551;1;-1;0;0;-0.034248194361852;2.290323;5.285714;-1.226398;2;2.340909;1.568787;5.571429
724;0;1;1;0;1.13618840201039;2.766667;2.4;0.570986;2.1;2.032377;0.418755;5.15
257;0;-1;0;0;-0.15585071737418;3.275862;5.882353;-0.193213;1.533333;2.076828;0.119537;4.428571
76;0;1;0;0;0.148157414212726;2.538462;2.904762;1.416889;2.380952;1.816262;-0.767289;7
569;0;-1;0;0;-1.79750119454539;2.612903;7.045455;1.543655;2.466667;1.879678;-0.874929;6.52381
607;1;1;0;0;0.391366108349556;2.193548;1.5;-0.697869;2.6;1.851111;-0.584866;7.318182
232;1;-1;0;0;-0.034248194361852;3.689655;7.117647;1.611533;1.826087;2.076008;0.119537;5
480;1;1;1;0;-2.42422862504679;3.677419;1.47619;-0.731437;2.666667;1.777426;-0.962954;5.619048
661;1;-1;1;0;0.566170875214832;3.166667;6.25;0.338019;1.466667;2.022388;-0.233819;5.15
497;1;1;0;0;0.943259813877144;2.464286;2.526316;0.749071;2.083333;2.094203;0.788499;4.380952
334;1;-1;0;0;0.483615920830064;2.137931;6.636364;0.925611;2.2;2.384025;1.671316;5.380952
148;0;-1;0;0;-0.930585706785161;2.6;6.095238;0.12469;1.913043;1.858456;-1.046188;5.052632
580;0;-1;1;0;-3.54672537937346;2.709677;5.545455;-0.799739;2.722222;2.075835;0.08486;2.647059
174;1;1;1;0;0.363906768034739;2.833333;1.809524;-0.249284;2.333333;2.002703;0.34292;5.75
352;0;-1;0;0;-1.52913511887396;2.586207;5.882353;-0.193213;1.6;2.075835;0.103104;4.571429
304;0;1;0;0;-0.15585071737418;2.931034;1.380952;-0.865707;1.571429;2.132035;0.950273;6.65
277;1;1;0;0;1.66820536837161;2.758621;1.764706;-0.328625;1.842105;2.032256;0.437299;5.428571
705;1;1;0;0;0.509169122535276;2.966667;1.590909;-0.569702;2.2;1.712888;-1.404408;6
192;0;1;0;0;1.12883380787266;3.137931;2.333333;0.476997;2.210526;1.82392;-0.695248;6.809524
36;0;-1;0;0;-0.277455064442596;2.230769;4.941176;-1.510838;3.166667;2.072996;0.083627;4.526316
480;1;1;0;0;0.171543637288074;2.392857;2.368421;0.519719;2.083333;2.036134;0.475539;5.6
466;0;-1;0;0;-1.58235742734385;3.392857;6.368421;0.505127;2.2;2.208333;0.816272;3.681818
651;1;-1;0;0;1.02218489665128;2.766667;6.409091;0.611231;2.733333;2.102597;0.3107;4.9
660;1;-1;0;0;0.566170875214832;2.966667;5.8;-0.30197;2.444444;2.31952;1.329076;4.75
329;1;-1;0;0;1.48999326473816;2.172414;6.52381;0.803789;3.8;1.891252;-0.911606;6.238095
421;0;1;0;0;-1.27754123891095;3.103448;2.294118;0.430002;2.625;1.673267;-1.517417;6.227273
727;0;1;1;0;0.281162111817053;3.066667;1.95;-0.060085;2.5;1.74247;-1.086777;5.15
449;1;-1;0;0;-0.095049455868016;2.071429;6.5;0.729124;1.733333;2.396148;1.969068;5.6
50;1;1;1;0;0.391366108349556;3.038462;1.952381;-0.057033;2.166667;1.751404;-1.136285;6.411765
181;1;1;0;0;-0.401020271803185;3.033333;2.47619;0.611267;1.73913;1.883884;-0.361754;5.681818
297;0;1;0;0;0.391366108349556;2.931034;1.529412;-0.656403;2.428571;1.84676;-0.543573;7.428571
553;1;-1;0;0;-0.277455064442596;2.387097;6.363636;0.505127;1.888889;1.993342;-0.315693;5.095238
730;0;1;0;0;1.53520067076728;2.833333;1.7;-0.407608;1.7;1.918614;-0.176622;6.6
712;1;1;0;0;1.53520067076728;2.666667;2.55;0.71197;1.55;1.99368;0.20162;4.25
574;0;-1;0;0;0.573771716924134;4.357143;4.764706;-2.389254;1.833333;1.895785;-0.821664;5.9
544;1;-1;0;0;-0.034248194361852;2.387097;6.636364;0.932756;1.722222;2.254464;0.966501;5.6
345;1;-1;1;0;-0.74048440558482;2.62069;6.571429;0.906898;4.4;2.15942;0.535003;6.090909
168;1;1;0;0;0.9523126042307;2.033333;1.380952;-0.865707;1.52381;1.829207;-0.695248;6
723;0;1;0;0;0.338163864496608;2.766667;4.95;4.166074;2.5;1.789243;-0.933871;4.470588
710;1;1;0;0;0.45216736985572;3.033333;1.5;-0.697869;2.85;1.91256;-0.191312;3.3
33;0;-1;0;0;0.269761761281142;2.730769;5.571429;-0.586409;2.782609;1.763298;-1.594435;5.736842
576;0;-1;0;0;-0.459860673017174;2.741935;7.090909;1.711563;1.944444;2.088831;0.142089;4.15
196;0;1;0;0;0.716949175318664;3.033333;2.380952;0.526465;2;1.838889;-0.611279;6.235294
183;1;1;0;0;1.12883380787266;3.068966;1.588235;-0.573471;1.809524;2.192281;1.294765;6.52381
384;1;1;0;0;-1.02594735894795;3.103448;1.190476;-1.134248;1.526316;1.906205;-0.247411;5.380952
678;0;-1;0;0;0.224160359137497;3.3;4.3;-1.850226;2.1;2.280853;1.197977;3.75
300;0;1;0;0;1.85061097694619;2.1;1.545455;-0.633785;3.157895;2.198529;1.3597;5.882353
63;1;1;1;0;0.148157414212726;3.076923;1.705882;-0.438162;1.5;1.648728;-1.668267;6.631579
664;1;-1;0;0;0.908181391292167;3.033333;5.6;-0.614853;2.666667;2.421649;1.805971;4.6
716;0;1;1;0;0.965183143971723;2.633333;4.7;5.231747;2.45;1.827879;-0.693945;6.05
419;0;1;0;0;-1.40333726686441;2.896552;1.631579;-0.505618;1.958333;2.050461;0.530711;4.7
337;1;-1;0;0;-0.774353478984948;2.758621;6.095238;0.12469;1.733333;2.247523;0.993197;5.227273
652;1;-1;0;0;1.13618840201039;3.233333;6.35;0.505127;2.722222;2.31952;1.402026;4.8
77;0;1;1;0;0.816978587004878;2.692308;1.571429;-0.597166;1.947368;1.93617;-0.081979;6.526316
443;1;-1;0;0;-0.0389250741657034;2.321429;6.090909;0.12469;1.733333;2.415982;2.019265;4.45
351;0;-1;0;0;-2.22101783275819;3.241379;6.666667;0.978008;1.933333;1.91791;-0.714126;5.058824
285;1;1;0;0;1.60740228280936;2.172414;2.666667;0.971677;2.210526;2.043987;0.507471;6.764706
538;0;1;0;0;-1.72266929362767;2.741935;1.619048;-0.556885;1.833333;2.127497;0.995632;4.05
552;1;-1;0;0;0.0873561527065622;2.354839;6.315789;0.480239;2.266667;2.370734;1.700111;5.35
203;0;1;0;0;-0.401020271803185;3;4.714286;5.84781;1.631579;1.872015;-0.450299;4.470588
6;1;-1;0;0;-0.095049455868016;2.884615;6.380952;0.551349;2.173913;2.324011;1.402026;3.411765
546;1;-1;0;0;-0.885473151672496;2.967742;6.45;0.654458;2.722222;2.006942;-0.233819;5.761905
288;1;1;0;0;0.816978587004878;2.689655;1.588235;-0.573471;1.578947;1.626709;-1.772014;6.571429
212;0;1;1;0;0.83462997774664;3.866667;1.761905;-0.313367;1.428571;1.827839;-0.6589;6.380952
378;1;1;0;0;-0.900149506938407;2.931034;1.894737;-0.158813;2.052632;1.619688;-1.738511;4.52381
147;0;-1;0;0;-0.695222277873126;3.133333;5.761905;-0.356918;1.73913;1.609456;-1.906955;5.190476
217;1;-1;0;0;-0.763870628660168;2.3;4.941176;-1.510838;1.333333;2.130735;0.385619;4.714286
698;1;1;0;0;1.87721118684462;2.4;2.85;1.416889;1.9;2.246032;1.619781;5.7
583;1;1;0;0;-1.12868184580932;2.225806;1.363636;-0.865707;1.416667;1.981719;0.161744;3.619048
739;0;1;1;0;0.7371761332535;1.6;3.15;1.551159;2.35;2.135582;1.010678;4.85
258;0;-1;0;0;-0.33825632594876;3.62069;5.809524;-0.30197;2.8;1.887395;-0.874929;5.666667
688;1;1;0;0;1.64920417612639;2.3;2.3;0.430002;1.7;2.115942;0.878236;5.857143
561;1;-1;0;0;0.224160359137497;2.290323;5.772727;-0.37308;1.555556;2.291315;1.211958;5.571429
203;0;1;0;0;0.716949175318664;2.8;1.52381;-0.656403;2.47619;1.838889;-0.602604;6.470588
716;0;1;0;0;0.167158606457941;3;2.4;0.570986;2.2;1.735998;-1.168553;6
603;1;1;0;0;0.391366108349556;2.258065;2.045455;0.081252;2.458333;2.22563;1.385005;6.45
625;0;1;1;0;0.391366108349556;2.225806;1.894737;-0.141354;2;1.869935;-0.450299;6.842105
623;0;1;0;0;-1.06787876024707;3.516129;1.842105;-0.215556;2.45;2.042875;0.51783;4.363636
318;0;1;1;0;0.269761761281142;3.62069;1.761905;-0.313367;1.428571;2.026254;0.443824;6
176;1;1;0;0;-1.16594731164111;3.933333;1.176471;-1.134248;1.952381;2.070031;0.632008;5.095238
155;1;1;1;0;0.83462997774664;2.538462;2.190476;0.275591;2;2.046537;0.507471;5.058824
572;0;-1;0;0;-0.39905941151101;2.857143;6.454545;0.654458;2.555556;1.888506;-0.955976;5.761905
517;0;1;1;1;1.29403856755866;3.37931;1.590909;-0.573471;1.875;1.905745;-0.25664;6.181818
82;0;1;1;0;0.330563022787306;3.153846;2.47619;0.678402;1.952381;2.016873;0.401628;6.526316
237;1;-1;1;0;1.42499667423478;2.482759;7;1.711563;1.956522;2.155675;0.593827;4.238095
44;1;1;1;0;1.06018545708562;2.038462;1.428571;-0.798572;2.166667;1.751404;-1.106981;6
452;1;-1;0;0;-0.109080095279572;2.321429;6.210526;0.29685;1.733333;2.396148;2.019265;5.35
21;1;-1;0;0;-1.43268997739623;3.692308;5.619048;-0.586409;3.043478;2.073874;0.119537;3.095238
302;0;1;0;0;-0.095049455868016;2.62069;2.684211;0.852954;1.73913;1.784756;-0.903591;6.409091
172;1;1;1;0;0.9523126042307;2.033333;1.714286;-0.395761;2.52381;1.695223;-1.516177;6.705882
303;0;1;0;0;1.85061097694619;2.366667;3.764706;2.50631;1.952381;2.355904;2.139247;5.142857
318;0;1;0;0;-0.946276237234746;2.689655;1.238095;-1.067112;2.761905;1.651515;-1.650533;6.6
5;1;-1;0;0;-0.095049455868016;2.615385;5.857143;-0.241526;2;1.854895;-0.991463;5.947368
347;0;-1;0;0;-2.22101783275819;2.827586;6.666667;1.004207;4.4;2.135436;0.382348;4.863636
737;0;1;0;0;1.53520067076728;3.2;1.65;-0.486393;1.95;2.081124;0.728987;5.75
676;0;-1;0;0;0.395165617176164;2.866667;5;-1.510838;2.45;1.882433;-0.874929;4.2
572;0;-1;0;0;-0.277455064442596;2.83871;7.090909;1.827144;2.277778;2.155675;0.572007;5.6
637;0;1;1;0;-2.58792671440596;3.322581;1.842105;-0.215556;1.791667;1.869935;-0.420803;6.105263
555;1;-1;0;0;1.12098854264787;2.137931;6.52381;0.764679;2;2.34594;1.671316;5.6
158;1;1;0;0;0.246225965606763;2.4;2.761905;0.897475;1.666667;2.230173;1.518592;5.55
428;0;1;0;0;-0.1453678670494;2.857143;1.631579;-0.512364;2.625;1.673267;-1.389366;6.136364
468;0;-1;0;0;-1.09126498332242;3.392857;6.157895;0.1958;1.944444;2.162036;0.558523;4
